id,age,decile_score,priors_count,two_year_recid,sex_Female,sex_Male,age_cat_25 - 45,age_cat_Greater than 45,age_cat_Less than 25,race_African-American,race_Asian,race_Caucasian,race_Hispanic,race_Native American,race_Other
97,62,1,0,0,0,1,0,1,0,0,0,0,1,0,0
98,27,6,6,1,0,1,1,0,0,1,0,0,0,0,0
99,33,1,0,0,0,1,1,0,0,0,0,0,0,0,1
100,56,1,0,0,1,0,0,1,0,1,0,0,0,0,0
101,45,1,6,1,0,1,0,1,0,0,0,0,1,0,0
102,22,4,1,0,0,1,0,0,1,0,0,0,1,0,0
105,39,4,1,0,0,1,1,0,0,1,0,0,0,0,0
107,29,6,5,1,0,1,1,0,0,1,0,0,0,0,0
108,27,6,1,1,0,1,1,0,0,0,0,1,0,0,0
111,40,2,2,0,0,1,1,0,0,1,0,0,0,0,0
113,22,3,1,1,0,1,0,0,1,1,0,0,0,0,0
114,22,8,0,0,0,1,0,0,1,0,0,1,0,0,0
115,26,4,1,1,1,0,1,0,0,1,0,0,0,0,0
116,27,7,1,1,0,1,1,0,0,0,0,1,0,0,0
119,32,2,0,0,0,1,1,0,0,1,0,0,0,0,0
120,41,2,1,0,0,1,1,0,0,1,0,0,0,0,0
122,30,10,8,1,0,1,1,0,0,1,0,0,0,0,0
127,50,1,0,1,0,1,0,1,0,0,0,0,0,0,1
128,25,10,14,1,0,1,1,0,0,1,0,0,0,0,0
130,20,5,0,1,0,1,0,0,1,0,0,0,0,0,1
131,22,9,2,1,0,1,0,0,1,1,0,0,0,0,0
132,23,7,2,1,0,1,0,0,1,1,0,0,0,0,0
136,35,2,1,0,1,0,1,0,0,1,0,0,0,0,0
137,36,7,9,1,0,1,1,0,0,1,0,0,0,0,0
138,26,8,7,1,0,1,1,0,0,0,0,1,0,0,0
139,21,6,1,1,0,1,0,0,1,0,0,0,0,0,1
142,25,8,9,1,0,1,1,0,0,0,0,1,0,0,0
143,71,7,12,0,0,1,0,1,0,1,0,0,0,0,0
145,20,7,0,0,1,0,0,0,1,0,0,1,0,0,0
146,39,1,2,1,0,1,1,0,0,0,0,1,0,0,0
147,66,1,3,0,0,1,0,1,0,0,0,1,0,0,0
148,54,1,0,0,1,0,0,1,0,0,0,1,0,0,0
150,44,1,0,0,1,0,1,0,0,0,0,0,1,0,0
151,19,4,1,1,0,1,0,0,1,1,0,0,0,0,0
152,24,2,1,0,0,1,0,0,1,1,0,0,0,0,0
153,30,2,1,0,0,1,1,0,0,1,0,0,0,0,0
154,39,1,0,1,1,0,1,0,0,0,0,1,0,0,0
156,24,6,8,1,0,1,0,0,1,0,0,1,0,0,0
157,30,4,0,0,0,1,1,0,0,0,0,1,0,0,0
158,31,5,0,0,0,1,1,0,0,0,0,1,0,0,0
159,39,4,1,0,1,0,1,0,0,0,0,1,0,0,0
160,59,9,14,1,0,1,0,1,0,1,0,0,0,0,0
163,43,1,1,0,0,1,1,0,0,0,0,1,0,0,0
166,21,9,3,1,0,1,0,0,1,1,0,0,0,0,0
169,38,4,5,1,0,1,1,0,0,0,0,1,0,0,0
171,34,5,0,0,0,1,1,0,0,0,0,1,0,0,0
173,33,5,5,1,0,1,1,0,0,1,0,0,0,0,0
174,37,2,3,0,0,1,1,0,0,1,0,0,0,0,0
175,42,2,1,1,0,1,1,0,0,0,0,1,0,0,0
176,41,9,10,1,0,1,1,0,0,1,0,0,0,0,0
177,22,4,0,1,0,1,0,0,1,1,0,0,0,0,0
178,33,8,28,1,0,1,1,0,0,1,0,0,0,0,0
180,31,7,1,0,0,1,1,0,0,1,0,0,0,0,0
182,30,2,1,0,1,0,1,0,0,0,0,0,0,0,1
183,31,10,13,1,0,1,1,0,0,0,0,1,0,0,0
184,27,9,3,1,0,1,1,0,0,1,0,0,0,0,0
187,56,9,8,0,0,1,0,1,0,1,0,0,0,0,0
189,52,9,3,0,0,1,0,1,0,0,0,1,0,0,0
190,33,10,19,1,0,1,1,0,0,1,0,0,0,0,0
192,64,1,2,0,1,0,0,1,0,0,0,1,0,0,0
193,22,6,4,1,0,1,0,0,1,0,0,1,0,0,0
194,42,3,6,0,0,1,1,0,0,0,0,1,0,0,0
195,25,4,2,0,1,0,1,0,0,0,0,1,0,0,0
197,30,2,1,0,0,1,1,0,0,0,0,1,0,0,0
199,28,1,2,0,0,1,1,0,0,0,0,1,0,0,0
200,37,2,2,0,1,0,1,0,0,0,0,0,0,0,1
202,28,2,0,1,0,1,1,0,0,0,0,1,0,0,0
203,24,2,0,0,1,0,0,0,1,1,0,0,0,0,0
206,29,4,10,1,1,0,1,0,0,0,0,1,0,0,0
208,44,2,2,1,0,1,1,0,0,0,0,1,0,0,0
209,30,5,4,1,1,0,1,0,0,0,0,0,1,0,0
210,32,7,3,1,0,1,1,0,0,1,0,0,0,0,0
213,31,3,2,1,0,1,1,0,0,0,0,1,0,0,0
215,31,2,1,0,0,1,1,0,0,1,0,0,0,0,0
216,59,2,1,1,0,1,0,1,0,0,0,1,0,0,0
218,45,4,4,0,1,0,0,1,0,0,0,1,0,0,0
220,20,10,1,0,1,0,0,0,1,1,0,0,0,0,0
222,43,1,0,0,1,0,1,0,0,0,0,1,0,0,0
223,38,8,9,1,0,1,1,0,0,1,0,0,0,0,0
224,32,6,11,1,0,1,1,0,0,1,0,0,0,0,0
225,33,5,8,1,0,1,1,0,0,1,0,0,0,0,0
227,31,3,0,1,1,0,1,0,0,1,0,0,0,0,0
228,33,9,7,1,1,0,1,0,0,1,0,0,0,0,0
229,27,9,2,1,0,1,1,0,0,1,0,0,0,0,0
231,20,6,0,0,1,0,0,0,1,1,0,0,0,0,0
232,26,6,0,0,1,0,1,0,0,0,0,1,0,0,0
234,61,1,1,1,1,0,0,1,0,1,0,0,0,0,0
235,52,7,13,1,0,1,0,1,0,0,0,0,0,0,1
236,63,1,1,0,0,1,0,1,0,0,0,0,1,0,0
238,32,10,4,1,1,0,1,0,0,1,0,0,0,0,0
239,29,4,1,0,0,1,1,0,0,0,0,0,1,0,0
240,46,2,1,0,1,0,0,1,0,0,0,0,0,0,1
241,26,4,2,1,1,0,1,0,0,1,0,0,0,0,0
242,55,1,3,0,0,1,0,1,0,1,0,0,0,0,0
243,39,4,1,0,0,1,1,0,0,0,0,1,0,0,0
244,30,7,3,1,1,0,1,0,0,0,0,1,0,0,0
245,30,7,1,0,0,1,1,0,0,1,0,0,0,0,0
246,48,2,2,0,0,1,0,1,0,0,0,1,0,0,0
248,22,2,1,0,0,1,0,0,1,1,0,0,0,0,0
249,46,1,6,1,0,1,0,1,0,0,0,1,0,0,0
251,49,6,6,0,1,0,0,1,0,0,0,1,0,0,0
252,31,5,0,0,0,1,1,0,0,0,0,1,0,0,0
254,25,2,1,1,0,1,1,0,0,1,0,0,0,0,0
257,23,3,0,0,0,1,0,0,1,0,0,0,1,0,0
258,32,7,5,0,1,0,1,0,0,1,0,0,0,0,0
259,52,1,2,0,0,1,0,1,0,0,0,0,1,0,0
260,62,4,8,0,0,1,0,1,0,1,0,0,0,0,0
262,37,10,6,0,1,0,1,0,0,0,0,1,0,0,0
263,55,1,1,0,0,1,0,1,0,0,0,1,0,0,0
264,31,9,8,1,0,1,1,0,0,0,0,0,1,0,0
265,28,6,6,1,0,1,1,0,0,1,0,0,0,0,0
266,54,1,2,0,0,1,0,1,0,0,0,0,1,0,0
267,58,2,0,0,0,1,0,1,0,0,0,0,1,0,0
268,78,1,1,1,0,1,0,1,0,0,0,1,0,0,0
269,56,1,0,0,0,1,0,1,0,0,0,1,0,0,0
271,24,2,0,0,0,1,0,0,1,0,0,0,0,0,1
272,38,8,22,1,0,1,1,0,0,1,0,0,0,0,0
275,22,5,1,1,0,1,0,0,1,1,0,0,0,0,0
277,47,8,23,1,0,1,0,1,0,1,0,0,0,0,0
278,23,2,0,1,0,1,0,0,1,1,0,0,0,0,0
279,57,1,1,0,0,1,0,1,0,0,0,0,1,0,0
280,38,5,2,1,1,0,1,0,0,0,0,1,0,0,0
281,66,1,3,0,0,1,0,1,0,1,0,0,0,0,0
282,45,4,8,1,0,1,0,1,0,0,0,1,0,0,0
285,52,3,0,1,1,0,0,1,0,0,0,0,0,0,1
286,32,10,13,1,0,1,1,0,0,1,0,0,0,0,0
287,37,9,2,1,0,1,1,0,0,1,0,0,0,0,0
288,39,4,0,1,0,1,1,0,0,0,0,1,0,0,0
289,26,9,9,1,0,1,1,0,0,1,0,0,0,0,0
291,45,3,2,0,0,1,0,1,0,0,0,1,0,0,0
293,23,3,0,1,0,1,0,0,1,1,0,0,0,0,0
294,34,2,2,0,0,1,1,0,0,1,0,0,0,0,0
297,23,4,1,0,1,0,0,0,1,1,0,0,0,0,0
298,36,3,2,1,0,1,1,0,0,0,0,0,0,0,1
299,50,1,1,0,0,1,0,1,0,0,0,1,0,0,0
300,37,3,0,0,1,0,1,0,0,0,0,1,0,0,0
301,44,4,4,0,0,1,1,0,0,0,0,1,0,0,0
302,35,9,23,1,1,0,1,0,0,1,0,0,0,0,0
304,24,5,5,1,0,1,0,0,1,0,0,0,0,0,1
306,26,10,2,1,0,1,1,0,0,1,0,0,0,0,0
308,27,2,0,0,0,1,1,0,0,1,0,0,0,0,0
310,28,8,0,0,1,0,1,0,0,1,0,0,0,0,0
311,43,5,11,1,0,1,1,0,0,0,0,1,0,0,0
313,28,9,7,1,1,0,1,0,0,0,0,1,0,0,0
315,38,1,2,0,0,1,1,0,0,1,0,0,0,0,0
316,27,4,2,0,0,1,1,0,0,0,0,1,0,0,0
317,28,9,1,0,1,0,1,0,0,1,0,0,0,0,0
319,56,1,7,1,0,1,0,1,0,0,0,1,0,0,0
320,38,9,15,0,0,1,1,0,0,1,0,0,0,0,0
321,28,5,2,0,0,1,1,0,0,1,0,0,0,0,0
322,45,6,3,0,0,1,0,1,0,1,0,0,0,0,0
323,28,2,0,0,0,1,1,0,0,0,0,0,1,0,0
325,61,1,1,0,0,1,0,1,0,0,0,1,0,0,0
326,51,1,0,1,1,0,0,1,0,0,0,1,0,0,0
327,51,2,0,0,0,1,0,1,0,0,0,1,0,0,0
329,36,1,1,1,0,1,1,0,0,0,0,0,0,0,1
330,48,1,0,0,0,1,0,1,0,1,0,0,0,0,0
331,37,3,4,1,0,1,1,0,0,0,0,1,0,0,0
332,30,7,2,0,1,0,1,0,0,1,0,0,0,0,0
333,41,6,5,0,1,0,1,0,0,1,0,0,0,0,0
334,27,10,11,1,0,1,1,0,0,1,0,0,0,0,0
335,37,1,0,0,0,1,1,0,0,1,0,0,0,0,0
336,33,4,4,1,0,1,1,0,0,0,0,0,0,0,1
337,54,9,11,0,0,1,0,1,0,1,0,0,0,0,0
338,23,9,2,0,0,1,0,0,1,1,0,0,0,0,0
341,26,4,2,1,1,0,1,0,0,1,0,0,0,0,0
344,41,1,0,0,0,1,1,0,0,1,0,0,0,0,0
345,52,1,0,0,0,1,0,1,0,0,0,1,0,0,0
347,43,4,13,1,0,1,1,0,0,0,0,1,0,0,0
348,52,4,0,0,0,1,0,1,0,1,0,0,0,0,0
349,28,1,1,0,0,1,1,0,0,0,0,1,0,0,0
350,30,9,11,1,0,1,1,0,0,1,0,0,0,0,0
351,28,5,1,0,0,1,1,0,0,0,0,1,0,0,0
354,22,4,0,0,0,1,0,0,1,1,0,0,0,0,0
355,30,2,4,0,0,1,1,0,0,1,0,0,0,0,0
356,25,4,4,0,0,1,1,0,0,0,0,0,1,0,0
357,31,8,0,1,0,1,1,0,0,0,0,1,0,0,0
358,37,2,0,1,0,1,1,0,0,0,0,1,0,0,0
359,32,9,14,0,0,1,1,0,0,1,0,0,0,0,0
360,26,8,4,0,0,1,1,0,0,1,0,0,0,0,0
361,53,1,1,0,0,1,0,1,0,0,0,1,0,0,0
362,28,8,25,1,0,1,1,0,0,1,0,0,0,0,0
363,44,5,8,1,0,1,1,0,0,0,0,1,0,0,0
364,25,3,0,0,0,1,1,0,0,1,0,0,0,0,0
366,22,8,1,1,0,1,0,0,1,0,0,1,0,0,0
369,37,1,0,0,1,0,1,0,0,0,0,0,0,0,1
372,40,2,3,0,1,0,1,0,0,0,0,0,0,0,1
374,36,7,8,1,0,1,1,0,0,0,0,1,0,0,0
375,30,2,4,0,0,1,1,0,0,0,0,1,0,0,0
376,22,9,3,1,0,1,0,0,1,1,0,0,0,0,0
377,24,7,1,1,1,0,0,0,1,0,0,1,0,0,0
378,27,2,3,1,0,1,1,0,0,1,0,0,0,0,0
379,31,2,0,0,1,0,1,0,0,0,0,0,1,0,0
381,23,6,1,1,0,1,0,0,1,0,0,0,1,0,0
382,23,5,5,1,1,0,0,0,1,0,0,1,0,0,0
383,24,8,0,0,0,1,0,0,1,0,0,0,1,0,0
384,29,3,1,0,0,1,1,0,0,1,0,0,0,0,0
385,20,8,1,1,0,1,0,0,1,1,0,0,0,0,0
386,30,6,2,1,0,1,1,0,0,1,0,0,0,0,0
389,39,1,0,0,0,1,1,0,0,0,0,0,0,0,1
390,27,4,4,0,0,1,1,0,0,1,0,0,0,0,0
392,31,4,2,0,0,1,1,0,0,0,0,1,0,0,0
393,37,1,2,0,1,0,1,0,0,1,0,0,0,0,0
396,20,8,0,0,0,1,0,0,1,1,0,0,0,0,0
398,22,7,0,0,0,1,0,0,1,0,0,0,1,0,0
399,52,1,0,0,1,0,0,1,0,1,0,0,0,0,0
400,23,4,0,1,1,0,0,0,1,1,0,0,0,0,0
402,48,2,0,0,1,0,0,1,0,1,0,0,0,0,0
403,66,6,8,1,0,1,0,1,0,1,0,0,0,0,0
404,25,5,0,0,0,1,1,0,0,0,0,1,0,0,0
405,27,6,0,1,0,1,1,0,0,0,0,1,0,0,0
406,30,7,11,1,0,1,1,0,0,1,0,0,0,0,0
407,22,10,3,1,0,1,0,0,1,1,0,0,0,0,0
408,22,3,1,0,1,0,0,0,1,0,0,1,0,0,0
409,35,10,2,0,0,1,1,0,0,1,0,0,0,0,0
410,32,4,2,0,0,1,1,0,0,0,0,1,0,0,0
411,41,3,2,0,1,0,1,0,0,1,0,0,0,0,0
414,25,2,0,0,1,0,1,0,0,0,0,0,0,0,1
415,44,7,24,0,0,1,1,0,0,1,0,0,0,0,0
416,52,6,3,1,0,1,0,1,0,1,0,0,0,0,0
417,43,1,0,0,0,1,1,0,0,1,0,0,0,0,0
423,37,1,3,0,0,1,1,0,0,0,0,1,0,0,0
424,28,4,3,1,0,1,1,0,0,1,0,0,0,0,0
425,70,1,1,0,0,1,0,1,0,0,0,1,0,0,0
426,54,2,6,1,0,1,0,1,0,0,0,1,0,0,0
428,46,4,3,0,0,1,0,1,0,0,0,1,0,0,0
429,21,9,0,1,0,1,0,0,1,1,0,0,0,0,0
430,26,8,1,1,0,1,1,0,0,1,0,0,0,0,0
431,38,1,3,1,0,1,1,0,0,0,0,0,1,0,0
432,34,4,5,0,0,1,1,0,0,0,0,1,0,0,0
434,19,5,1,1,0,1,0,0,1,1,0,0,0,0,0
435,34,4,5,0,0,1,1,0,0,1,0,0,0,0,0
437,23,5,0,1,0,1,0,0,1,0,0,1,0,0,0
438,34,4,5,1,0,1,1,0,0,1,0,0,0,0,0
439,30,1,2,0,0,1,1,0,0,1,0,0,0,0,0
440,39,3,6,1,0,1,1,0,0,1,0,0,0,0,0
441,24,3,0,0,0,1,0,0,1,0,0,0,0,0,1
442,33,3,1,1,0,1,1,0,0,0,0,1,0,0,0
445,58,3,2,0,0,1,0,1,0,0,0,1,0,0,0
446,21,6,0,0,1,0,0,0,1,1,0,0,0,0,0
450,21,5,1,0,0,1,0,0,1,1,0,0,0,0,0
451,23,8,4,1,0,1,0,0,1,1,0,0,0,0,0
452,62,1,0,0,0,1,0,1,0,0,0,1,0,0,0
454,27,8,4,1,0,1,1,0,0,1,0,0,0,0,0
456,37,3,5,0,0,1,1,0,0,0,0,1,0,0,0
457,43,2,2,1,0,1,1,0,0,0,0,0,0,0,1
459,32,1,5,0,1,0,1,0,0,1,0,0,0,0,0
461,23,3,0,0,0,1,0,0,1,0,0,0,1,0,0
462,27,1,0,0,0,1,1,0,0,1,0,0,0,0,0
463,44,1,0,1,0,1,1,0,0,0,0,1,0,0,0
464,28,3,3,1,0,1,1,0,0,0,0,1,0,0,0
465,42,2,0,0,1,0,1,0,0,0,0,1,0,0,0
467,24,10,9,1,0,1,0,0,1,0,0,0,0,0,1
468,27,2,0,0,0,1,1,0,0,1,0,0,0,0,0
469,20,10,0,1,0,1,0,0,1,1,0,0,0,0,0
474,51,1,0,0,1,0,0,1,0,0,0,1,0,0,0
475,56,1,0,0,0,1,0,1,0,0,0,1,0,0,0
478,29,9,7,0,0,1,1,0,0,1,0,0,0,0,0
480,20,9,0,1,0,1,0,0,1,1,0,0,0,0,0
481,53,1,6,0,0,1,0,1,0,0,0,1,0,0,0
484,27,5,8,0,0,1,1,0,0,0,0,1,0,0,0
485,24,9,2,1,0,1,0,0,1,1,0,0,0,0,0
487,53,6,36,1,0,1,0,1,0,0,0,1,0,0,0
489,28,3,2,1,0,1,1,0,0,0,0,1,0,0,0
493,45,1,1,0,0,1,0,1,0,1,0,0,0,0,0
494,21,5,3,0,0,1,0,0,1,0,0,0,1,0,0
495,36,7,0,0,1,0,1,0,0,1,0,0,0,0,0
496,25,4,2,1,1,0,1,0,0,0,0,1,0,0,0
497,23,3,1,0,1,0,0,0,1,0,0,0,1,0,0
499,28,5,1,0,0,1,1,0,0,0,0,1,0,0,0
500,21,8,0,1,1,0,0,0,1,1,0,0,0,0,0
501,36,3,0,0,0,1,1,0,0,0,0,1,0,0,0
502,24,3,0,0,0,1,0,0,1,1,0,0,0,0,0
503,28,6,3,1,0,1,1,0,0,1,0,0,0,0,0
504,30,2,1,1,0,1,1,0,0,0,0,0,0,0,1
505,29,1,0,0,0,1,1,0,0,1,0,0,0,0,0
509,30,6,0,0,1,0,1,0,0,0,0,1,0,0,0
510,51,1,1,0,0,1,0,1,0,0,0,0,1,0,0
511,33,1,3,0,0,1,1,0,0,0,0,0,0,0,1
512,25,6,2,0,1,0,1,0,0,1,0,0,0,0,0
516,32,9,12,1,0,1,1,0,0,1,0,0,0,0,0
517,23,6,1,0,0,1,0,0,1,1,0,0,0,0,0
518,47,3,3,0,0,1,0,1,0,1,0,0,0,0,0
521,32,3,1,1,1,0,1,0,0,0,0,0,1,0,0
522,37,1,0,0,0,1,1,0,0,0,0,1,0,0,0
523,19,10,2,1,0,1,0,0,1,1,0,0,0,0,0
524,27,8,0,0,0,1,1,0,0,0,0,0,1,0,0
525,39,1,0,0,0,1,1,0,0,0,0,0,0,0,1
526,21,6,0,0,1,0,0,0,1,0,0,1,0,0,0
527,69,1,0,0,0,1,0,1,0,0,0,1,0,0,0
530,21,6,2,0,0,1,0,0,1,0,0,1,0,0,0
531,26,10,6,1,0,1,1,0,0,1,0,0,0,0,0
532,22,4,0,0,0,1,0,0,1,0,0,1,0,0,0
533,23,5,0,1,1,0,0,0,1,1,0,0,0,0,0
537,49,5,3,0,0,1,0,1,0,1,0,0,0,0,0
538,29,4,2,0,0,1,1,0,0,1,0,0,0,0,0
540,60,1,0,0,1,0,0,1,0,0,0,1,0,0,0
541,26,10,0,0,1,0,1,0,0,1,0,0,0,0,0
542,23,10,3,1,0,1,0,0,1,1,0,0,0,0,0
543,34,5,2,1,0,1,1,0,0,0,0,0,1,0,0
545,20,4,1,0,1,0,0,0,1,0,0,0,0,0,1
546,36,3,1,0,0,1,1,0,0,0,0,0,1,0,0
547,30,4,0,0,0,1,1,0,0,0,0,1,0,0,0
548,21,3,1,0,0,1,0,0,1,1,0,0,0,0,0
552,22,6,2,1,0,1,0,0,1,0,0,1,0,0,0
553,57,8,18,0,0,1,0,1,0,1,0,0,0,0,0
557,21,9,4,1,0,1,0,0,1,1,0,0,0,0,0
558,21,5,0,1,0,1,0,0,1,1,0,0,0,0,0
561,34,1,1,0,0,1,1,0,0,0,0,1,0,0,0
563,50,1,1,1,1,0,0,1,0,0,0,1,0,0,0
565,40,7,0,1,0,1,1,0,0,0,0,1,0,0,0
566,25,8,7,1,0,1,1,0,0,1,0,0,0,0,0
567,53,1,1,0,1,0,0,1,0,0,0,1,0,0,0
569,24,4,0,0,1,0,0,0,1,1,0,0,0,0,0
572,42,1,1,0,0,1,1,0,0,1,0,0,0,0,0
573,28,3,1,0,0,1,1,0,0,1,0,0,0,0,0
574,24,4,1,0,0,1,0,0,1,0,0,1,0,0,0
576,26,8,6,1,0,1,1,0,0,1,0,0,0,0,0
579,22,9,4,1,0,1,0,0,1,1,0,0,0,0,0
580,21,7,3,0,0,1,0,0,1,0,0,1,0,0,0
581,37,9,23,1,0,1,1,0,0,1,0,0,0,0,0
584,35,5,2,0,0,1,1,0,0,1,0,0,0,0,0
586,53,1,2,0,0,1,0,1,0,1,0,0,0,0,0
587,60,1,1,0,0,1,0,1,0,1,0,0,0,0,0
588,29,4,7,0,0,1,1,0,0,1,0,0,0,0,0
590,48,8,23,1,0,1,0,1,0,0,0,1,0,0,0
594,52,1,0,0,1,0,0,1,0,0,0,1,0,0,0
597,27,8,12,1,0,1,1,0,0,1,0,0,0,0,0
598,28,9,5,0,0,1,1,0,0,1,0,0,0,0,0
599,33,3,3,0,0,1,1,0,0,0,0,1,0,0,0
600,28,2,0,0,1,0,1,0,0,0,0,0,1,0,0
601,47,10,5,1,0,1,0,1,0,0,0,1,0,0,0
602,36,7,14,1,0,1,1,0,0,1,0,0,0,0,0
603,29,5,2,0,0,1,1,0,0,1,0,0,0,0,0
604,22,9,0,1,0,1,0,0,1,1,0,0,0,0,0
605,26,7,6,0,0,1,1,0,0,1,0,0,0,0,0
608,25,2,0,0,0,1,1,0,0,0,0,1,0,0,0
609,68,1,2,0,0,1,0,1,0,0,0,1,0,0,0
611,56,3,5,0,0,1,0,1,0,1,0,0,0,0,0
612,27,8,9,1,0,1,1,0,0,1,0,0,0,0,0
613,52,1,4,1,0,1,0,1,0,0,0,1,0,0,0
616,32,2,3,0,0,1,1,0,0,1,0,0,0,0,0
617,60,1,4,0,0,1,0,1,0,0,0,0,0,0,1
621,23,3,1,0,0,1,0,0,1,0,0,0,1,0,0
622,39,6,0,0,1,0,1,0,0,0,0,1,0,0,0
623,56,1,0,0,0,1,0,1,0,0,0,1,0,0,0
624,22,7,0,0,1,0,0,0,1,1,0,0,0,0,0
625,27,2,1,1,1,0,1,0,0,1,0,0,0,0,0
627,53,6,11,0,0,1,0,1,0,1,0,0,0,0,0
628,25,2,0,1,0,1,1,0,0,0,0,1,0,0,0
629,21,3,0,0,0,1,0,0,1,0,0,0,1,0,0
630,22,3,0,0,0,1,0,0,1,0,0,1,0,0,0
633,58,1,2,0,1,0,0,1,0,0,0,1,0,0,0
635,31,3,7,1,0,1,1,0,0,1,0,0,0,0,0
637,22,5,1,1,0,1,0,0,1,0,0,1,0,0,0
638,28,6,8,1,0,1,1,0,0,1,0,0,0,0,0
639,42,1,1,0,0,1,1,0,0,0,0,0,0,0,1
640,20,7,0,1,0,1,0,0,1,1,0,0,0,0,0
641,29,6,0,1,0,1,1,0,0,0,0,1,0,0,0
643,29,10,8,0,0,1,1,0,0,1,0,0,0,0,0
644,58,7,21,1,0,1,0,1,0,1,0,0,0,0,0
645,22,7,3,0,0,1,0,0,1,1,0,0,0,0,0
646,48,1,1,1,0,1,0,1,0,0,0,0,1,0,0
647,37,4,0,0,0,1,1,0,0,0,0,1,0,0,0
